ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
ZAO KonsulTacionnaya Gruppa Atk,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Ethernet Subscribers,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
LLC Cifrovie Seti Urala,корпоративная сеть,локальный,да,Россия,Урал,да,0,нет,нет,нет,12345,256,5,нет
Neocom LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO Ni,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
TSI Service JSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Telecom-Orel LLC,корпоративная сеть,локальный,да,Россия,Орел,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Scientific and Production Center Microelectronics.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,10,нет
KaspiyTelekom Ltd.,ISP,национальный,да,Казахстан,Атырауская область,да,5,нет,нет,нет,AS12345,256,10,нет
MTSNET Broadband infra in MR DV,корпоративная сеть,национальный,да,Россия,Московская область,да,5,нет,нет,нет,12345,1000,10,нет
AEZA International Ltd,корпоративная сеть,международный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Saint-Petersburg Computer Networks Ltd.,корпоративная сеть,локальный,да,Россия,Санкт-Петербург,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Uneco,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
MTSNET Infra in Ufa,корпоративная сеть,локальный,да,Россия,Башкортостан,да,5,нет,нет,нет,12345,1000,10,нет
MRF Center,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
PermTelecom Ltd,ISP,локальный,да,Россия,Пермский край,да,5,нет,нет,нет,AS12345,256,10,нет
P.A.K.T LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Ace Data Centers Inc.,дата-центр,национальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Rosin.Telekom,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
KomTelecom LLC,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Kcell JSC,корпоративная сеть,национальный,да,Казахстан,Алматинская область,да,5,нет,нет,нет,AS9198,1024,15,да
Linenet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LanCraft LTD.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Quartz Telecom LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
JSC North-West Telecom Arkhangelsk Branch,корпоративная сеть,локальный,да,Россия,Архангельская область,да,5,нет,нет,нет,12345,256,10,нет
JSC Sigma-KTV,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Global Network Management Inc,корпоративная сеть,международный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
Uniontel Ltd,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Kazakhtelecom,ISP,национальный,да,Казахстан,Алматы,да,5,нет,нет,нет,9198,10000,20,нет
Information Network LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Telekey-S Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO RTK,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Teletext-Plus Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Stalnet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Orbita Plus Vyazma Ltd.,корпоративная сеть,локальный,да,Россия,Смоленская область,да,0,нет,нет,нет,AS12345,256,5,нет
Lancom Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Tomkevich Andrey Vladimirovich Individual Businessman,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,N/A,N/A,N/A,нет
PJSC Pik Specialized Developer,корпоративная сеть,национальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Maxima Ltd.,корпоративная сеть,локальный,да,Латвия,Рига,да,5,нет,нет,нет,AS12345,256,10,нет
First Digital TV Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Garant-Telecom Ltd.,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Comfortel Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Iuliia Cherepanina,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Net for IP Single Static Assignment Clients Moscow,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Malnet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Melitek,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
JSC Svyazinform,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
KTVS Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
PJSC Rostelecom Ivanovo Branch,корпоративная сеть,национальный,да,Россия,Ивановская область,да,5,нет,нет,нет,12345,1000,10,нет
Joint Stock Company MTU Kristall,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
JSC Comcor,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,8359,1024,20,нет
Courier Plus Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
Scientific Research Institute for System Analysis of the National Research Centre Kurchatov Institute,госорган,национальный,нет,Россия,Москва,да,0,нет,нет,нет,AS12345,256,10,нет
OOO SmolTelecom,ISP,локальный,TRUE,Россия,Смоленская область,TRUE,5,FALSE,FALSE,FALSE,AS12345,256,10,FALSE
KVS Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Ramenskoe Netflow Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Special Engineering and Design Bureau Orbita JSC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,10,нет
Gerkon Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Rimer Anton Ivanovich,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Leasing MM,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
StroyTechService LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
ATEXS PLUS Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
Teleline Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Birpark,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Ac Serso,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Freedom House Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Teleskan-Intercom Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
UFK Network Allocation,госорган,национальный,нет,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
JSC Orient-Telecom,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Tele-plus LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Vermont-IT Limited Liability Company,корпоративная сеть,локальный,да,США,Вермонт,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Skem,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Ivan Bulavkin,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Arbon-Dizajn,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Valued - Great Lakes - PSC,корпоративная сеть,локальный,да,США,Великие озера,да,0,нет,нет,нет,AS12345,256,10,нет
Sprint Inet LLC,ISP,национальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,10000,15,нет
Sinev Maksim Viktorovich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Net for Clients on NMGTS,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Seti Weba Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Viktoriya Alekseevna Golovina,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Proxima Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Semantic LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
LIR LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
InterkamService LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Dynamic Broadband Clients.,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
Akvilon Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Rostov-on-Don Regional Data Exchange Network,дата-центр,локальный,некоммерческий,Россия,Ростовская область,да,0,нет,нет,нет,AS12345,256,5,нет
POL Dialup Lines,ISP,локальный,да,Польша,Мазовецкое,да,5,нет,нет,нет,AS12345,256,10,нет
Sannikov Kirill Vladimirovich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Garant-G Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Russian Customs Academy,университет,национальный,нет,Россия,Центральный,да,0,нет,нет,нет,AS12345,256,10,нет
Domset OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
CGN Pool for Broadband Users in Novokuznetsk,ISP,локальный,да,Россия,Кемеровская область,да,5,нет,нет,нет,AS12345,256,10,нет
Lentel Business Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Dinet,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Ast-Systems Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LLC EGS-Telecom,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Fortex CJSC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Lukyanov Evgeniy Vladimirovich PE,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.,корпоративная сеть,национальный,да,Турция,Стамбул,нет,5,нет,нет,нет,AS9121,256,20,нет
AVK-Wellcom Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Modern Technologies Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Tataisneft,корпоративная сеть,локальный,да,Россия,Татарстан,да,0,нет,нет,нет,AS12345,256,5,нет
Videoline LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
SKTV Ltd.,корпоративная сеть,локальный,да,Словакия,Братислава,да,5,нет,нет,нет,AS12345,256,10,нет
2COM Co ltd.,корпоративная сеть,локальный,да,Япония,Токио,да,0,нет,нет,нет,AS12345,256,5,нет
R1 Flate Rate PoolA,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
Public Joint-Stock Company Rutelekom,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,1000,10,нет
Telecompany Fialka Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Russian Central Telegraph Moscow,корпоративная сеть,национальный,коммерческий,Россия,Москва,TRUE,5,FALSE,FALSE,FALSE,AS12345,256,10,FALSE
OOO Saturnius,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
R-Line 1 LLC,корпоративная сеть,локальный,да,США,Калифорния,да,0,нет,нет,нет,12345,256,5,нет
Radist Ltd,корпоративная сеть,локальный,да,Латвия,Рига,да,5,нет,нет,нет,AS12345,256,10,нет
Trytek LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
MAXnet Systems Ltd.,корпоративная сеть,локальный,да,Канада,Онтарио,нет,5,нет,нет,нет,AS12345,256,10,нет
EDIS GmbH,дата-центр,международный,да,Германия,Бавария,нет,5,нет,да,нет,AS200100,256,10,нет
PJSC MTS,корпоративная сеть,национальный,да,Россия,Центральный,да,10,нет,нет,нет,8359,10000,20,да
Girey-net OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Sibline Ltd.,корпоративная сеть,локальный,да,Россия,Сибирский федеральный округ,да,0,нет,нет,нет,AS12345,256,5,нет
HiLink LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Sever Telecom JSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Prime-Service LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Mikron-Media LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
IP Ovchinnikov Vasiliy Fedorovich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Egorjevsk Netwlow Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Powernet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Telematica Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Static and PPPoE XDSL Links in Khabarovsk City ATS-490 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
Limited Liability Company Kvant,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Open Joint-Stock Company Uralsviazinform Branch of the Khantymansiysk Region,корпоративная сеть,локальный,да,Россия,Ханты-Мансийский автономный округ,да,0,нет,нет,нет,AS12345,256,10,нет
OOO Piter Gaz,корпоративная сеть,локальный,да,Россия,Санкт-Петербург,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Netline,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Open Systems Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
En+ Telecom LLC,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Oriens Prajm,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Morton-Telekom Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
YSTel d.o.o. Tivat,корпоративная сеть,локальный,да,Черногория,Тиват,да,0,нет,нет,нет,AS202123,256,5,нет
OOO Paravan - 2000,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,2000,256,5,нет
Joint Stock Company Kuzbassenergosviaz,корпоративная сеть,локальный,да,Россия,Кемеровская область,да,5,нет,нет,нет,AS12345,256,10,нет
OAO Mospromstrojmaterialy,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,10,нет
Yankovskiy Nikolay Nikolayevich,корпоративная сеть,локальный,нет,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
LTD SibMediaFon,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Avantel,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS20485,256,15,нет
Sky Engineering LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Joint Stock Company Central Telecommunications Company Bryansk Branch,корпоративная сеть,локальный,да,Россия,Брянская область,да,0,нет,нет,нет,AS12345,256,10,нет
Beirel Telecom LLC,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Hostkey B.V.,дата-центр,международный,да,Нидерланды,Северный Брабант,нет,низкое,нет,да,нет,AS20473,1000,10,нет
Ltd Intellect Net,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Parus-Telecom Ltd.,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Ltd Maxima,корпоративная сеть,локальный,да,Латвия,Рига,да,5,нет,нет,нет,AS12345,256,10,нет
SerDi TeleCom Ltd,ISP,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Nemerov Evgeniy Vladimirovish Pe,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
STM Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Svyaztelecom Ltd.,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
JSC Tagil Telecom,ISP,локальный,да,Россия,Свердловская область,да,5,нет,нет,нет,AS12345,256,10,нет
Navant LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
OOO Kompaniya Etype,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
SYSTEMA Ltd,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
DATAPLANET Ltd.,дата-центр,международный,да,Великобритания,Лондон,нет,5,нет,да,нет,AS12345,256,10,нет
PT Telkom Indonesia,ISP,национальный,да,Индонезия,Джакарта,да,5,нет,нет,нет,AS4761,10000,20,нет
NPF KTS Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Rual - K,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Mozhaysky Telecommunication Networks LLC,корпоративная сеть,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
PE Alexey Grishin,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
IP Yashutkin Andrei Vladimirovich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
X5 Corporate Center LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Volkhov Online Ltd,ISP,локальный,да,Россия,Ленинградская область,да,5,нет,нет,нет,AS12345,256,10,нет
Scientific and Production Association Scat Ltd.,корпоративная сеть,локальный,да,Россия,Сибирский,да,0,нет,нет,нет,AS12345,256,10,нет
Maxima LLC,корпоративная сеть,локальный,да,Латвия,Рига,да,5,нет,нет,нет,AS12345,256,10,нет
FOP Sinev Alexey Viktorovich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Cityline LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
LLC IPLS,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Dynamic Broadband Clients. Ussuriisk,ISP,локальный,да,Россия,Приморский край,да,5,нет,нет,нет,AS12345,256,10,нет
Electrosvyazstroy OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Elektronnyj Yugansk Ltd,корпоративная сеть,локальный,да,Россия,Ханты-Мансийский автономный округ,да,0,нет,нет,нет,12345,256,5,нет
Miranda Media Net,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
M2 Connect LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Rial Com JSC,корпоративная сеть,национальный,да,Иран,Тегеран,нет,5,нет,нет,нет,AS197199,256,10,нет
iomart Managed Services Limited,дата-центр,национальный,да,Великобритания,Шотландия,да,5,нет,нет,нет,AS29550,1024,18,нет
Russia,ISP,национальный,да,Россия,Центральный,да,10,нет,да,нет,12345,5000,15,нет
Excellent Signalman LLC,корпоративная сеть,локальный,да,США,Калифорния,да,0,нет,нет,нет,12345,256,5,нет
Luhovicy Netflow Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
OJSC Telecom-Service,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
OAO Garant Invest,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Suntel,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
JSC Aviel,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Globalnet,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
GSS Net,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
RamSvyazInvest LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO Klinika Optimalnoe Zdorove,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Alexey Geiner,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Shelkovo Netflow Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Megasvyaz LLC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS20485,256,10,нет
OTS Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Infromsvjaz,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
PPPoE XDSL Links in Komsomolsk-at-Amur Town ATS-37 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,0,нет,нет,нет,12345,256,5,нет
OOO Novyj Gorod Voss,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Firma Zum,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Klimovsk Network Ltd,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
STRLNK POP FRNTDEU1 Pool5 V,дата-центр,международный,да,Франция,Иль-де-Франс,нет,5,нет,да,нет,AS12345,256,10,нет
FNK LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Russia Primorskiy Kray Luchegorsk Primorskaya Gres,корпоративная сеть,локальный,да,Россия,Приморский край,да,5,нет,нет,нет,AS12345,256,10,нет
INKO Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Intek-M LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Stream-TV Smolensk Branch,корпоративная сеть,локальный,да,Россия,Смоленская область,да,5,нет,нет,нет,AS12345,256,10,нет
Moscow Institute of Physics and Technology,университет,локальный,нет,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,10,нет
Objedinennye Seti Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Inforoom Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Media Servis Abv,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC RU-Telecom,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Uralsviazinform Tyumen Branch,корпоративная сеть,локальный,да,Россия,Тюменская область,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Balttelecom,ISP,национальный,да,Латвия,Рига,нет,5,нет,нет,нет,AS12345,256,10,нет
Diananet LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
GP Gen Direk Mezh Nyh Knizhnyh Vyst I Yarmorok,госорган,национальный,нет,Россия,Москва,да,0,нет,нет,нет,12345,256,10,нет
Nikolay Filonenko PE,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
LLC SIP NIS,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Address Space for New Broadband Users,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
New Line Telecom Ltd.,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
GU Socialnaja gostinica JuZAO,корпоративная сеть,локальный,некоммерческий,Россия,Южный,да,0,нет,нет,нет,12345,256,5,нет
LTD AtelRybinsk,корпоративная сеть,локальный,да,Россия,Ярославская область,да,0,нет,нет,нет,AS12345,256,5,нет
Ivstar Ltd,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
MTS Chelyabinsk Infrastructure Network,корпоративная сеть,локальный,да,Россия,Челябинская область,да,5,нет,нет,нет,12345,256,10,нет
Digital Square Limited,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Telemaks Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Quantum CJSC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Palmira Elektroniks,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Kristelecom Ltd.,ISP,национальный,да,Латвия,Рига,нет,5,нет,нет,нет,AS12345,256,10,нет
